,popu,area,year
686,6924,神奈川県,1980
687,2451,新 潟 県,1980
688,1103,富 山 県,1980
689,1119,石 川 県,1980
690,794,福 井 県,1980
691,804,山 梨 県,1980
692,2084,長 野 県,1980
693,1960,岐 阜 県,1980
694,3447,静 岡 県,1980
695,6222,愛 知 県,1980
696,1687,三 重 県,1980
697,1080,滋 賀 県,1980
698,2527,京 都 府,1980
699,8473,大 阪 府,1980
700,5145,兵 庫 県,1980
701,1209,奈 良 県,1980
702,1087,和歌山県,1980
703,604,鳥 取 県,1980
704,785,島 根 県,1980
705,1871,岡 山 県,1980
706,2739,広 島 県,1980
707,1587,山 口 県,1980
708,825,徳 島 県,1980
709,1000,香 川 県,1980
710,1507,愛 媛 県,1980
711,831,高 知 県,1980
712,4553,福 岡 県,1980
713,866,佐 賀 県,1980
714,1591,長 崎 県,1980
715,1790,熊 本 県,1980
716,1229,大 分 県,1980
717,1152,宮 崎 県,1980
718,1785,鹿児島県,1980
719,1107,沖 縄 県,1980
720,117902,全国,1981
721,5605,北 海 道,1981
722,1526,青 森 県,1981
723,1426,岩 手 県,1981
724,2104,宮 城 県,1981
725,1259,秋 田 県,1981
726,1255,山 形 県,1981
727,2043,福 島 県,1981
728,2595,茨 城 県,1981
729,1807,栃 木 県,1981
730,1864,群 馬 県,1981
731,5520,埼 玉 県,1981
732,4834,千 葉 県,1981
733,11626,東 京 都,1981
734,7022,神奈川県,1981
735,2459,新 潟 県,1981
736,1106,富 山 県,1981
737,1127,石 川 県,1981
738,798,福 井 県,1981
739,809,山 梨 県,1981
740,2093,長 野 県,1981
741,1975,岐 阜 県,1981
742,3472,静 岡 県,1981
743,6266,愛 知 県,1981
744,1702,三 重 県,1981
745,1097,滋 賀 県,1981
746,2539,京 都 府,1981
747,8509,大 阪 府,1981
748,5171,兵 庫 県,1981
749,1233,奈 良 県,1981
750,1088,和歌山県,1981
751,607,鳥 取 県,1981
752,787,島 根 県,1981
753,1881,岡 山 県,1981
754,2761,広 島 県,1981
755,1592,山 口 県,1981
756,827,徳 島 県,1981
757,1005,香 川 県,1981
758,1512,愛 媛 県,1981
759,833,高 知 県,1981
760,4594,福 岡 県,1981
761,869,佐 賀 県,1981
762,1594,長 崎 県,1981
763,1802,熊 本 県,1981
764,1234,大 分 県,1981
765,1158,宮 崎 県,1981
766,1794,鹿児島県,1981
767,1119,沖 縄 県,1981
768,118728,全国,1982
769,5630,北 海 道,1982
770,1527,青 森 県,1982
771,1429,岩 手 県,1982
772,2125,宮 城 県,1982
773,1258,秋 田 県,1982
774,1257,山 形 県,1982
775,2052,福 島 県,1982
776,2636,茨 城 県,1982
777,1822,栃 木 県,1982
778,1879,群 馬 県,1982
779,5615,埼 玉 県,1982
780,4923,千 葉 県,1982
781,11650,東 京 都,1982
782,7127,神奈川県,1982
783,2465,新 潟 県,1982
784,1110,富 山 県,1982
785,1134,石 川 県,1982
786,803,福 井 県,1982
787,813,山 梨 県,1982
788,2102,長 野 県,1982
789,1990,岐 阜 県,1982
790,3498,静 岡 県,1982
791,6309,愛 知 県,1982
792,1716,三 重 県,1982
793,1112,滋 賀 県,1982
794,2553,京 都 府,1982
795,8543,大 阪 府,1982
796,5198,兵 庫 県,1982
797,1254,奈 良 県,1982
798,1090,和歌山県,1982
799,610,鳥 取 県,1982
800,790,島 根 県,1982
801,1891,岡 山 県,1982
802,2777,広 島 県,1982
803,1597,山 口 県,1982
804,830,徳 島 県,1982
805,1010,香 川 県,1982
806,1517,愛 媛 県,1982
807,836,高 知 県,1982
808,4632,福 岡 県,1982
809,873,佐 賀 県,1982
810,1595,長 崎 県,1982
811,1811,熊 本 県,1982
812,1239,大 分 県,1982
813,1166,宮 崎 県,1982
814,1801,鹿児島県,1982
815,1132,沖 縄 県,1982
816,119536,全国,1983
817,5656,北 海 道,1983
818,1528,青 森 県,1983
819,1432,岩 手 県,1983
820,2144,宮 城 県,1983
821,1256,秋 田 県,1983
822,1258,山 形 県,1983
823,2061,福 島 県,1983
824,2670,茨 城 県,1983
825,1835,栃 木 県,1983
826,1893,群 馬 県,1983
827,5700,埼 玉 県,1983
828,5005,千 葉 県,1983
829,11700,東 京 都,1983
830,7227,神奈川県,1983
831,2469,新 潟 県,1983
832,1113,富 山 県,1983
833,1141,石 川 県,1983
834,809,福 井 県,1983
835,820,山 梨 県,1983
836,2112,長 野 県,1983
837,2004,岐 阜 県,1983
838,3522,静 岡 県,1983
839,6353,愛 知 県,1983
840,1728,三 重 県,1983
841,1127,滋 賀 県,1983
842,2569,京 都 府,1983
843,8588,大 阪 府,1983
844,5227,兵 庫 県,1983
845,1273,奈 良 県,1983
846,1090,和歌山県,1983
847,612,鳥 取 県,1983
848,790,島 根 県,1983
849,1901,岡 山 県,1983
850,2793,広 島 県,1983
851,1600,山 口 県,1983
852,831,徳 島 県,1983
853,1014,香 川 県,1983
854,1522,愛 媛 県,1983
855,838,高 知 県,1983
856,4667,福 岡 県,1983
857,876,佐 賀 県,1983
858,1596,長 崎 県,1983
859,1820,熊 本 県,1983
860,1243,大 分 県,1983
861,1170,宮 崎 県,1983
862,1807,鹿児島県,1983
863,1146,沖 縄 県,1983
864,120305,全国,1984
865,5672,北 海 道,1984
866,1527,青 森 県,1984
867,1433,岩 手 県,1984
868,2161,宮 城 県,1984
869,1255,秋 田 県,1984
870,1260,山 形 県,1984
871,2071,福 島 県,1984
872,2698,茨 城 県,1984
873,1850,栃 木 県,1984
874,1908,群 馬 県,1984
875,5784,埼 玉 県,1984
876,5079,千 葉 県,1984
877,11759,東 京 都,1984
878,7328,神奈川県,1984
879,2474,新 潟 県,1984
880,1116,富 山 県,1984
881,1147,石 川 県,1984
882,813,福 井 県,1984
883,826,山 梨 県,1984
884,2125,長 野 県,1984
885,2017,岐 阜 県,1984
886,3547,静 岡 県,1984
887,6401,愛 知 県,1984
888,1737,三 重 県,1984
889,1141,滋 賀 県,1984
890,2578,京 都 府,1984
891,8632,大 阪 府,1984
892,5252,兵 庫 県,1984
893,1290,奈 良 県,1984
894,1088,和歌山県,1984
895,614,鳥 取 県,1984
896,793,島 根 県,1984
